1	47	82.838
1	60	151.91
1	61	163.734
1	45	271.767
2	3	119.493
2	4	202.442
3	13	197.8
3	3	202.442
3	4	274.016
4	2	202.442
4	13	215.409
4	11	251.361
4	3	274.016
5	3	390.141
5	2	494.301
5	13	517.515
6	104	608.612
6	101	642.926
6	10	726.239
7	29	335.541
7	53	394.8
7	8	413.297
8	52	155.878
8	55	250.398
9	101	211.535
9	104	310.246
10	101	233.861
10	93	278.369
11	15	180.05
11	4	251.361
11	94	267.934
12	15	212.991
12	94	268.414
12	14	332.163
12	4	372.808
13	4	215.409
13	2	237.53
13	86	369.204
14	96	211.91
14	95	220.557
14	12	332.163
14	68	349.818
15	12	212.991
15	4	347.021
15	13	386.332
15	86	440.629
16	8	111.92
16	55	204.343
17	77	275.05
17	76	301.385
17	78	302.477
18	77	331.084
18	76	343.438
19	20	118.357
19	45	142.647
19	22	179.069
20	22	143.425
20	46	150.048
20	45	164.826
20	21	198.927
21	19	118.234
21	20	198.927
22	59	165.586
22	19	179.069
22	46	198.128
22	58	251.139
23	46	137.988
23	25	162.22
23	24	214.747
23	27	217.568
24	55	167.493
24	23	214.747
25	24	147.421
25	23	162.22
26	27	179.197
26	54	305.956
26	92	358.636
27	48	200.017
27	23	217.568
28	53	253.002
28	29	255.363
28	8	265.186
28	55	334.942
29	57	254.454
29	28	255.363
30	56	266.187
30	68	267.749
30	58	306.08
30	95	316.878
31	35	99.472
31	73	297.283
31	51	344.922
32	33	291.961
32	51	328.243
32	80	330.545
33	31	97.431
33	32	291.961
34	66	137.416
34	64	344.997
34	35	348.394
35	31	99.472
35	32	347.851
35	34	348.394
36	66	204.453
36	38	319.09
36	64	359.925
37	71	250.018
37	72	256.6
37	73	284.549
38	36	319.09
38	34	354.948
38	72	363.394
39	43	494.273
39	40	502.253
39	39	981.606
39	42	986.995
40	39	502.253
40	44	662.288
40	42	765.48
40	43	994.395
41	40	338.502
41	43	752.658
42	85	754.238
42	40	765.48
42	39	986.995
43	75	541.312
43	41	752.658
43	100	986.092
43	40	994.395
44	40	662.288
44	41	995.89
44	39	1075.863
45	19	142.647
45	20	164.826
45	47	192.681
45	61	242.439
46	23	137.988
46	20	150.048
47	61	123.788
47	60	183.863
47	45	192.681
48	46	185.768
48	27	200.017
49	69	259.755
49	74	289.772
49	70	312.442
50	69	259.755
50	74	289.772
51	74	326.939
51	32	328.243
51	50	330.124
52	54	125.742
52	8	155.878
53	29	173.69
53	57	216.101
53	28	253.002
54	92	138.571
54	91	185.425
54	90	203.598
55	24	167.493
55	16	204.343
55	57	217.224
55	8	250.398
56	68	167.977
56	58	259.797
57	53	216.101
57	55	217.224
57	25	217.673
58	59	204.148
58	25	215.215
58	22	251.139
59	22	165.586
59	58	204.148
60	1	151.91
60	47	183.863
60	63	205.741
60	62	226.46
61	60	137.283
61	63	139.753
62	60	226.46
62	61	255.041
62	81	255.825
63	62	158.875
63	60	205.741
63	47	263.259
64	65	338.694
64	34	344.997
64	36	359.925
64	35	612.55
65	66	412.994
65	34	533.651
66	36	204.453
66	64	213.755
66	65	412.994
66	35	417.207
67	69	200.735
67	74	246.251
67	68	290.369
68	56	167.977
68	97	250.355
68	30	267.749
69	67	200.735
69	50	259.755
69	50	259.755
69	59	268.288
70	67	175.066
70	59	228.779
70	56	266.328
70	22	282.484
71	74	184.695
71	73	225.287
72	71	149.876
72	37	256.6
73	71	225.287
73	74	270.4
74	67	246.251
74	73	270.4
75	98	475.708
75	43	541.312
75	76	619.983
75	18	677.981
76	98	163.73
76	100	194.908
76	77	264.651
77	97	250.262
77	76	264.651
77	17	275.05
77	96	276.435
78	77	186.569
78	98	250.846
78	100	282.291
78	17	302.477
79	81	146.939
79	32	254.062
79	51	382.805
79	62	402.735
80	79	77.489
80	62	326.08
80	32	330.545
80	63	410.306
81	79	146.939
81	62	255.825
81	63	341.268
81	32	395.89
82	84	605.143
82	99	672.407
83	85	761.171
83	84	823.529
83	99	877.21
83	42	1205.774
84	15	473.448
84	82	605.143
84	11	653.497
85	83	761.171
85	82	966.265
86	89	160.825
86	87	161.465
86	2	260.557
87	86	161.465
87	88	269.645
88	89	220.305
88	71	231.429
88	87	269.645
88	37	289.4
89	86	160.825
89	94	208.809
89	88	220.305
89	72	301.442
90	54	203.598
90	92	209.093
90	91	245.594
91	54	185.425
91	93	204.752
92	54	138.571
92	90	209.093
92	93	245.42
92	52	257.793
93	92	245.42
93	10	278.369
94	89	208.809
94	86	264.777
94	11	267.934
94	12	268.414
95	97	175.135
95	96	190.71
96	14	211.91
96	97	221.013
96	77	276.435
96	68	354.249
97	30	206.022
97	96	221.013
97	77	250.262
98	76	163.73
98	78	250.846
99	15	572.86
99	100	592.874
99	98	605.723
99	82	672.407
100	76	194.908
100	78	282.291
100	17	420.44
100	18	442.513
101	9	211.535
101	10	233.861
101	103	360.816
101	93	511.116
102	104	627.821
102	101	714.405
102	103	778.839
102	10	903.762
103	101	360.816
103	9	475.004
104	9	310.246
104	103	319.197
104	10	332.454
105	101	268.926
105	6	374.524
105	10	397.162
105	9	435.319
